symbol,entry_time,side,setup,atr_pct,body_atr,close_pos,dow,entry_dist_atr,gap_atr,hour,htf_align,range_atr,setup_choch,side_long,stop_atr,stop_pct,trend_age,vol_z,gross_r,net_r,win
BLURUSDT,2025-07-30T14:59:59Z,SHORT,BOS,1.6739587744869717,0.7775092541193258,0.30434782608695965,3,1.0366790054924344,0.0647924378432794,11,-0,1.4902260703953814,0,0,0.6608828660014355,1.0874200426439309,21,0.7041999474528281,3,2.919335294117648,1
ETHUSDT,2025-07-31T11:59:59Z,LONG,BOS,1.030203505779055,0.6264458563625811,0.9517368582846689,4,0.8430508817073592,0.4382356893286531,2,1,0.8174201246479891,0,1,0.7000714624252347,0.7275348164319372,3,-0.09610598496637224,-1,-1.123005419956929,0
TRXUSDT,2025-07-31T17:59:59Z,LONG,BOS,0.5240174536214747,0.2898440739612475,0.7777777777777435,4,0.4057817035457336,0.17390644437676137,16,1,0.521719333130252,0,1,1.101407481052747,0.5783866057838699,64,-0.23887036593455999,-1,-1.1549052631578938,0
XRPUSDT,2025-07-31T21:59:59Z,SHORT,BOS,1.0425040197818929,0.20118847274560556,0.3056768558952027,4,0.499827611977378,0.04715354829975501,20,-0,0.7198775040428967,0,0,0.7230210739295536,0.7498451406774731,7,1.8666467338808281,5,4.883475217391305,1
BLURUSDT,2025-08-01T02:59:59Z,SHORT,BOS,1.75820485886155,0.732597341883702,0.6206896551724173,5,0.732597341883702,0.26639903341226534,0,1,1.9313929922388684,0,0,0.7459172935543282,1.2947976878612832,58,2.21358317264595,1,0.931191071428572,1
BNBUSDT,2025-08-02T06:59:59Z,LONG,BOS,1.021320031385128,0.7083957528364773,0.9607201309328955,6,0.9538542452914779,0.5812151867976135,4,1,0.7770732584974591,0,1,0.8800895169889318,0.9076957382898013,16,-0.013098896129524511,-1,-1.0984521676300585,0
SOLUSDT,2025-08-02T02:59:59Z,SHORT,BOS,1.696360691213118,0.9576406578321738,0.4333333333333349,5,1.3231523592948349,0.17910073371669688,22,1,1.7544561670207774,0,0,0.7090927008375617,1.1764705882352926,33,2.7392775813079973,0,-0.0765000000000001,0
SOLUSDT,2025-08-02T22:59:59Z,SHORT,BOS,1.469529651779673,1.1686890595455146,0.2035623409669179,6,1.3598500953076054,0.1781273287783113,18,1,1.7074156148750377,0,0,1.06876397266988,1.539809714571863,53,3.548026918066813,0,-0.058448780487804684,0
NEARUSDT,2025-08-05T09:59:59Z,SHORT,BOS,1.0570306204351627,1.3929517362804973,0.199999999999998,2,1.3929517362804973,0.3482379340701372,7,1,1.7411896703506173,0,0,1.0834069059959424,1.1285771866183003,12,2.5591772481630706,-1,-1.0804464285714286,0
ETHUSDT,2025-08-10T20:59:59Z,LONG,BOS,0.9882833638988165,0.37428330041338503,0.7237339380196719,0,0.53561230921225,0.13169227236764958,16,1,0.6324097144915517,0,1,1.3895805291208982,1.3806073817614577,257,-1.1813193107990516,1,0.9341113003095979,1
TRXUSDT,2025-08-12T02:59:59Z,LONG,BOS,0.40219168978349307,0.14281312950054187,0.7272727272727548,2,0.5712525180020882,1.0710984712538856,1,1,0.7854722122528415,0,1,1.856570683506727,0.7484168105929739,21,-0.639065988307442,-1,-1.1195538461538466,0
